"1 (Manual)"	"9 (UMAP/fSOM)"	"2 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"2 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"2 (Manual)"	"3 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"6 (OG/fSOM)"	"10 (t-SNE/fSOM)"	"7 (UMAP/fSOM)"	"3 (Manual)"	"9 (OG/fSOM)"	"2 (UMAP/fSOM)"	"9 (t-SNE/fSOM)"	"7 (OG/fSOM)"	"8 (OG/fSOM)"	"6 (Manual)"	"1 (UMAP/fSOM)"	"5 (t-SNE/fSOM)"	"7 (Manual)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"6 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"5 (Manual)"	"4 (OG/fSOM)"	"1 (t-SNE/fSOM)"	"5 (UMAP/fSOM)"
"3 (UMAP/fSOM)"	74.0831774668987	74.0523096903537	74.056042004407	79.2581308081736	76.9920325469809	77.2954762849724	77.637102972743	86.6734367114497	86.6974081416521	86.6840541771319	86.6848852886221	82.6313389513155	82.5466226765975	82.5412608999846	89.8602765232768	90.2499205662093	90.290388388084	90.293416796682	87.1803310988325	86.9935065587108	86.9852841023365	86.9800714910351	86.9791100568348	99.9597434700413	100	99.9887865958455	99.9902709199626	88.8105948233892	90.5823322112691	90.5709887046797	90.5387461869145	89.6241365077998	89.8246319523657	89.8361999963764	89.8377732887128
"7 (Manual)"	74.0624953119621	74.0315812377622	74.0353240753715	79.2426641075806	76.976686005895	77.2808300145758	77.6228867557052	86.6579606413004	86.6819232199055	86.66856554317	86.6693994238102	82.6296998068632	82.544897020454	82.5395893981921	89.8692988072365	90.2632515869169	90.3032993097134	90.306323817544	87.1893384389333	87.0030159203427	86.9947208312767	86.9895064710401	86.9885431775388	100	99.9597434700413	99.9676506285905	99.9667172201198	88.8193967772534	90.5815446751246	90.5709122059029	90.5480183013772	89.6342772153578	89.834519682504	89.8460420295058	89.8476122420708
"5 (t-SNE/fSOM)"	76.436743312348	76.4076363240022	76.4156021922731	80.2651652127887	78.7451434257168	79.5210563007582	79.9278446103806	80.8137851566697	80.834066452652	80.8228690452656	80.823856623555	85.6607410026256	85.6132912295795	85.6264203345281	91.8227239092815	90.2901081361533	91.5770889719771	91.578765475248	93.1731418434229	99.9347632627199	99.94692840003	99.9971277031496	100	86.9885431775388	86.9791100568348	86.978685418204	86.9793880827148	90.9536359159266	88.0649324192897	88.1051612574613	88.2183637886306	87.1352332855396	87.3644210898436	87.3722446728333	87.3729898936529
"1 (UMAP/fSOM)"	76.4351699395088	76.4060638358434	76.414029217782	80.2638126220689	78.7435926731436	79.5196438524927	79.9264893020091	80.8147963439346	80.8350786852387	80.8238805905743	80.8248682164764	85.6598373607487	85.6123721085551	85.6254934034232	91.8223691456807	90.2897327626332	91.576896836175	91.5785744895376	93.1735946196752	99.9339169154886	99.9473676891672	100	99.9971277031496	86.9895064710401	86.9800714910351	86.9796471923662	86.9803499979712	90.9539028021345	88.0654211609333	88.105654406515	88.2188493325774	87.1358311946023	87.3650034067175	87.3728270195242	87.3735719976369
"6 (Manual)"	76.4324673550156	76.4033681328746	76.4113455850604	80.2437731405023	78.7184646889984	79.4951148975178	79.9046903085556	80.8080397437061	80.8283306495152	80.817130039042	80.8181190042556	85.6294487418355	85.5824782451814	85.5954782088708	91.8114539235759	90.2807870740921	91.5681082341234	91.5698056386826	93.1658262261547	99.9253646442006	100	99.9473676891672	99.94692840003	86.9947208312767	86.9852841023365	86.9848525230226	86.9855576094146	90.9511929062929	88.0749541431176	88.1149317013028	88.226352078788	87.1455482197398	87.3754075448008	87.3832921998517	87.384042094599
"8 (OG/fSOM)"	76.4417027227003	76.4125347295009	76.4205183656027	80.2720190040832	78.7493403791367	79.5193185825966	79.9272778524853	80.8229994217903	80.8432543711196	80.8320602642958	80.8330492882457	85.6658768194499	85.6184214341581	85.6316415748657	91.8485609307014	90.3220402412579	91.6044867942963	91.6061522765247	93.1803229543381	100	99.9253646442006	99.9339169154886	99.9347632627199	87.0030159203427	86.9935065587108	86.9930903800819	86.993785555602	90.9760745152294	88.0745991507194	88.1152210188068	88.2428685215534	87.1597367730737	87.3893642167069	87.3971726763541	87.3979213550521
"7 (OG/fSOM)"	76.7444812968641	76.708406199424	76.7179243477336	81.2632147294409	79.4557563919553	80.5679323329451	81.2143379023316	80.8342460017372	80.8509968417803	80.839476093518	80.8400769398151	87.772805873513	87.7358423893987	87.7374244766132	94.4453578323723	91.178448024905	93.0080720305985	93.0108819765254	100	93.1803229543381	93.1658262261547	93.1735946196752	93.1731418434229	87.1893384389333	87.1803310988325	87.1795625399646	87.1807787288716	91.3054300007034	89.1524606677098	89.2306769513815	89.5193301343679	88.6663206295901	88.9124117368133	88.9197433664814	88.9198611465316
"9 (t-SNE/fSOM)"	75.483645773688	75.4458134655102	75.4538385860403	81.3602442407453	79.7044160485436	80.2505884103018	80.6163350531738	81.5087837897825	81.52913442781	81.5171272300137	81.5181169112658	87.7373923557853	87.66978913784	87.6832418778791	96.3379685144396	97.8839565612212	99.9922944546551	100	93.0108819765254	91.6061522765247	91.5698056386826	91.5785744895376	91.578765475248	90.306323817544	90.293416796682	90.2941088119377	90.294096529126	90.7343443371752	89.2365814814806	89.2933590421279	89.8282336621675	88.5673805283309	88.8011488634765	88.8079574931802	88.8089194221587
"2 (UMAP/fSOM)"	75.4828354709616	75.4449948732815	75.4530212115876	81.3616200819797	79.7061807670683	80.2520249781867	80.6175233383068	81.5065002873831	81.5268499780771	81.5148441813882	81.5158338702183	87.7379002284251	87.6702633692315	87.6837402888292	96.336889025847	97.8861799170636	100	99.9922944546551	93.0080720305985	91.6044867942963	91.5681082341234	91.576896836175	91.5770889719771	90.3032993097134	90.290388388084	90.2910834747439	90.2910692073853	90.7314298844234	89.2324023692266	89.2891983777929	89.8240560623174	88.563595503216	88.797239690467	88.8040372570842	88.8049988299629
"9 (OG/fSOM)"	75.2255298559962	75.1870771148481	75.194479599915	81.2106477898714	79.6173949213995	79.9486605068584	80.2326261600926	81.4797055359602	81.500664450426	81.4887411753285	81.4898697451617	87.3050807037993	87.2296101092916	87.2461868575341	95.2704933534626	100	97.8861799170636	97.8839565612212	91.178448024905	90.3220402412579	90.2807870740921	90.2897327626332	90.2901081361533	90.2632515869169	90.2499205662093	90.2508436842795	90.2503943033112	89.7157439201514	88.4794684479805	88.5312654328007	89.3673333212871	88.0122714399992	88.236705528834	88.2431073607611	88.2443601706755
"3 (Manual)"	77.7127506235268	77.6712143702717	77.679648969658	83.2141096703663	81.2568477376905	81.8790807385753	82.352987549553	82.0514056492194	82.071236178778	82.0589191684876	82.0597180062145	89.6885220660878	89.6291581169102	89.6367819740268	100	95.2704933534626	96.336889025847	96.3379685144396	94.4453578323723	91.8485609307014	91.8114539235759	91.8223691456807	91.8227239092815	89.8692988072365	89.8602765232768	89.8601981750163	89.8606132084096	91.8582069381928	90.3677151145645	90.4235538372805	90.9679733267221	89.7525267349858	90.0120122530539	90.0201615098407	90.0213022996088
