"7 (OG/fSOM)"	"3 (UMAP/fSOM)"	"1 (Manual)"	"2 (OG/fSOM)"	"3 (t-SNE/fSOM)"	"2 (UMAP/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (t-SNE/fSOM)"	"9 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"2 (Manual)"	"8 (t-SNE/fSOM)"	"6 (UMAP/fSOM)"	"3 (OG/fSOM)"	"5 (t-SNE/fSOM)"	"6 (Manual)"	"4 (UMAP/fSOM)"	"9 (OG/fSOM)"	"8 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"3 (Manual)"	"4 (OG/fSOM)"	"7 (UMAP/fSOM)"	"6 (OG/fSOM)"	"7 (Manual)"	"1 (t-SNE/fSOM)"	"8 (UMAP/fSOM)"	"9 (UMAP/fSOM)"	"5 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"1 (OG/fSOM)"	"5 (Manual)"	"10 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"
"4 (OG/fSOM)"	71.7454128874189	75.8827611208103	75.9196752050033	88.8244920558508	87.7704230395885	87.788371851631	81.8692405043818	82.5245651041136	80.9116991131804	79.705515496546	80.9415923355948	81.9659103976593	81.9758279102783	81.977670597903	91.0626690766577	90.4552694371292	90.6273974955155	90.639009194826	92.1344842659362	91.8369689789375	94.5239108061757	95.7366936599682	100	98.0135848683545	90.6957403119784	90.347707211725	90.3363518191186	90.3368928022659	90.0023320810137	88.6026016873791	89.0911911795293	89.4962772978479	88.9065546791239	88.1316782969938	88.3686032107992	88.3696654048725
"3 (Manual)"	73.4539694081669	77.6728941959161	77.7127506235268	90.7534890126586	89.6291581169102	89.6370148763588	83.0726056355202	83.7895668082629	82.281832500821	80.5266876582583	81.8253818807765	82.0514056492194	82.0597180062145	82.0613552591059	92.3557354033579	91.6826405324775	91.8114539235759	91.8227238703008	93.6590507291946	94.9619161902842	95.8268535238299	100	95.7366936599682	96.3336002440317	90.33823218789	89.8692988072365	89.8606132084096	89.8612382919142	91.3857675681653	90.3307243450582	90.9209695158656	90.9679733267221	90.6315074843952	89.7525267349858	90.0213133920266	90.0224828453689
"4 (t-SNE/fSOM)"	70.8777028584323	76.2197456247514	76.2532551327099	88.8504554801567	87.83997864415	87.8570731269056	81.212429997432	82.0063643026509	80.6616519867063	79.0591065016989	80.2793542854811	81.2856988232864	81.2931896877356	81.2947757917977	94.6097045728594	94.0956317644737	94.3333410375351	94.3476008449084	94.1027290868473	95.5463022687862	100	95.8268535238299	94.5239108061757	95.6477745213863	88.7307967279813	88.3839982514191	88.3715020877867	88.372346949937	90.0065090752456	89.2163358776288	89.6568377434215	89.9861447091953	89.5522372693748	88.8463421214188	89.0858363043507	89.0863345770931
"8 (OG/fSOM)"	72.3953141845335	77.5324896797139	77.5670827578436	89.3248539400983	88.3172229869305	88.3180185131227	82.1226831635232	83.2923684723578	82.0521483695152	79.6777462808748	81.0397213865849	81.4728211231692	81.4786833795395	81.480032337863	93.623758341563	93.117917859541	93.2037176135075	93.21336390742	93.6924598531093	100	95.5463022687862	94.9619161902842	91.8369689789375	93.1962303393523	88.1092463514128	87.6639432253575	87.6569806113554	87.6578675772277	89.9871483155487	89.3693064187195	89.9047773548835	89.7702006244276	89.6703031720508	88.8831334380843	89.1427935788768	89.1433337215065
"9 (OG/fSOM)"	73.1059081965849	78.2901698733659	78.320160333602	89.2566700748732	88.16233003609	88.1711344685902	83.4889931887957	84.4890094991586	82.7347458635064	80.9367018538814	82.4585836891179	82.5331070157958	82.5437994823658	82.5457098808985	95.5437266781873	94.9216660539017	94.8710697941808	94.8914071639482	100	93.6924598531093	94.1027290868473	93.6590507291946	92.1344842659362	92.6386347912971	89.2197345236985	88.6930911589335	88.6888383126353	88.6896227655499	89.7705104928374	88.2515156475379	88.9015230853678	88.6129160046525	88.5394937283318	87.6838830267963	87.8799236942864	87.8811947941377
"4 (UMAP/fSOM)"	70.319733668182	76.4079800410768	76.4354688285674	86.5856233937629	85.6124343830078	85.6257684757045	80.1659935792137	81.3346887599368	79.8479136820952	78.1255566351194	79.244874109382	80.8154483659884	80.8255197854535	80.8274077822567	99.0858104788953	99.5349721976538	99.9466837549153	100	94.8914071639482	93.21336390742	94.3476008449084	91.8227238703008	90.639009194826	91.5828437685824	87.337444346322	86.9896351389476	86.9804769598082	86.9812667922019	88.6395757117989	88.0247144437891	88.4300071821361	88.219458990315	87.8185155971293	87.1361962808263	87.3740214253037	87.3747769831814
"6 (Manual)"	70.3080718697691	76.4049859101854	76.4324673550156	86.5555167873691	85.5824782451814	85.5956812977055	80.1461750213519	81.3130457070822	79.8266699047641	78.1017800347685	79.2142784975907	80.8080397437061	80.8181190042556	80.8200066035253	99.0666161809237	99.5358081800605	100	99.9466837549153	94.8710697941808	93.2037176135075	94.3333410375351	91.8114539235759	90.6273974955155	91.573507256427	87.3412446660234	86.9947208312767	86.9855576094146	86.986340518008	88.6433437860127	88.0340726003706	88.4377701657563	88.226352078788	87.8268752853253	87.1455482197398	87.3841009442018	87.3848621504681
"5 (t-SNE/fSOM)"	70.3489049776476	76.4190188416658	76.445814512464	86.5676913503912	85.6051823857365	85.6175301979648	80.1148310317425	81.3158546371579	79.8079157943803	78.0428779865913	79.1886274192988	80.682394327568	80.6927867248879	80.6947067890402	98.9360248350465	100	99.5358081800605	99.5349721976538	94.9216660539017	93.117917859541	94.0956317644737	91.6826405324775	90.4552694371292	91.4143004915523	87.2675027645145	86.9191673213099	86.9106332710231	86.9114110754684	88.584297923185	87.9677612328075	88.3705340529656	88.0722695229145	87.6788346067755	86.99824508188	87.234306321537	87.2351236509039
"3 (OG/fSOM)"	71.1261015024135	77.1064126384552	77.134635000274	87.2026787110142	86.1805849324355	86.1938661088619	81.001162526598	82.1720408598277	80.6384917678776	78.9287952326904	80.0737943206257	81.460929723125	81.4708845875414	81.4727420392482	100	98.9360248350465	99.0666161809237	99.0858104788953	95.5437266781873	93.623758341563	94.6097045728594	92.3557354033579	91.0626690766577	91.9369887624773	87.8513028653276	87.4535360150866	87.44556083547	87.4463633183087	89.0873226544321	88.3610671351811	88.8285569395871	88.5620529864284	88.1931085192922	87.4457028134547	87.6908202500524	87.6916785326976
"6 (UMAP/fSOM)"	75.5749464574268	75.1320933712201	75.1580443728191	79.4583905949359	77.9294524663336	77.9298670042308	79.6944290673251	80.4687206400444	77.7885353734762	77.7840942216644	79.7627063736776	99.9668249261563	99.996035489673	100	81.4727420392482	80.6947067890402	80.8200066035253	80.8274077822567	82.5457098808985	81.480032337863	81.2947757917977	82.0613552591059	81.977670597903	81.5180349976974	87.0711240583911	86.6714507707858	86.6815447048365	86.6828248008505	85.690697639777	82.5087980552019	83.1442849906675	83.383348597097	83.4250661226864	82.6581606278049	82.8051784413331	82.8065678699063
