"2 (OG/fSOM)"	"5 (UMAP/fSOM)"	"1 (Manual)"	"4 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (UMAP/fSOM)"	"3 (OG/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"5 (t-SNE/fSOM)"	"4 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (Manual)"	"10 (t-SNE/fSOM)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"6 (Manual)"	"7 (UMAP/fSOM)"	"2 (t-SNE/fSOM)"	"3 (Manual)"	"5 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"8 (OG/fSOM)"	"7 (OG/fSOM)"	"7 (Manual)"	"9 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"	"8 (UMAP/fSOM)"	"9 (OG/fSOM)"	"4 (Manual)"	"6 (OG/fSOM)"	"5 (Manual)"	"1 (t-SNE/fSOM)"	"9 (UMAP/fSOM)"
"7 (OG/fSOM)"	72.768548883492	74.8103185404241	74.8409817839707	84.5809477599556	83.1317721722153	83.1253916743952	81.0121040000261	77.9354142057253	78.4432036511288	78.1155165090441	79.8722194652551	88.4290412662328	87.035536861695	87.0456348733913	87.0461317132189	87.8664979745766	87.3198731884569	87.3162372243654	87.3164344537475	90.311952584004	90.6791429229958	90.5793930394781	90.5888207909908	96.4545470805737	100	99.1496423241903	99.1646630198993	99.168982390519	90.7456493315639	91.188555166575	90.7107068102147	90.4697878998104	89.747356526062	89.9687154231005	89.9714659302863
"8 (OG/fSOM)"	72.9401793681268	75.0191716299388	75.0496032285051	84.8806613866735	83.4455497939644	83.4434952798987	80.7942728010949	77.382185195974	78.0907050489619	77.9812997553442	79.5039350945612	87.394814688872	85.5482954561111	85.5606006760512	85.5612626760054	88.57800776422	88.0904581861426	88.0863338096201	88.08638996449	90.9303792063535	91.103327953128	91.1028524099296	91.1117757432127	100	96.4545470805737	96.3157372666464	96.310940264274	96.3119978266388	90.6892254543523	91.0902349063179	90.9624951568568	90.5997217906959	89.8896138773178	90.137424813781	90.1402989270356
"3 (t-SNE/fSOM)"	71.0711839751209	75.4484363335126	75.4854572738367	88.7457281617873	87.6718716523048	87.6843959873627	82.3000199298958	79.8264513086332	80.0916715543501	80.3784403709771	81.2351043602346	84.7345000613966	81.5102719295175	81.5173195015738	81.5186152242459	91.967551786755	91.5702343036853	91.5794068107943	91.5801877820443	96.3392781808773	98.0301884969231	99.9709183477069	100	91.1117757432127	90.5888207909908	90.3071044327428	90.2931909571085	90.2939093472489	89.2371962125721	89.6261669088387	89.8288139149208	89.2799905105208	88.5678928642893	88.8091305711691	88.8089801792325
"4 (UMAP/fSOM)"	71.063091919598	75.4448643455145	75.4818462512394	88.7370830966877	87.6634115282979	87.675999800386	82.2901075459754	79.8187849101995	80.0837871811839	80.3687709239019	81.2229207449044	84.7275427794566	81.506578751353	81.5136203336087	81.5149203510369	91.9759273885446	91.5799416477655	91.589126305535	91.5898995550215	96.3297137605372	98.0251410721279	100	99.9709183477069	91.1028524099296	90.5793930394781	90.2982087394319	90.2842955156903	90.2850116312938	89.2389272019399	89.626950477717	89.8288719738261	89.2771473355781	88.5655800432547	88.8069550203163	88.8068010408962
"5 (OG/fSOM)"	71.7360200512701	75.8522836348207	75.8900023035208	88.811910247119	87.7240027139703	87.7407775068713	82.6800178461493	80.4199583251433	80.7133723548262	80.7018610610753	81.6875269365301	85.2274947884317	81.963773140739	81.9713579529655	81.9726083632926	91.1072048298686	90.6517960336774	90.6631299319068	90.6640223451832	95.7250484681027	100	98.0251410721279	98.0301884969231	91.103327953128	90.6791429229958	90.3576108258336	90.3449226973058	90.3457062808753	88.6364741489037	89.0766544619947	89.5246132931273	88.9075051205506	88.1560513459661	88.3932369767718	88.393489243703
"3 (Manual)"	73.4828672433133	77.6721323673642	77.7127506235268	90.7958191125154	89.6302525140738	89.6367819740268	83.9790176775913	81.4093585870248	81.6295102522838	82.0809653816776	83.0835493511333	85.8896148352517	82.0514056492194	82.0571039199373	82.0589191684876	92.3961478872146	91.8114539235759	91.8223216233576	91.8241492702393	100	95.7250484681027	96.3297137605372	96.3392781808773	90.9303792063535	90.311952584004	89.8692988072365	89.8593304906927	89.859972761586	90.3677151145645	90.8824209966778	90.9679733267221	90.608467605933	89.7525267349858	90.0207979714206	90.0209365461658
"2 (t-SNE/fSOM)"	70.3554015405851	76.4103286065122	76.4385633766469	86.628233499037	85.6157210768425	85.6278950038047	81.5595665497844	78.8730839851869	79.1017050651189	79.7212764845068	80.2946544501315	83.8609482159226	80.8154568857303	80.822537093273	80.8245406023788	99.0692048061837	99.946130922819	99.9949368349206	100	91.8241492702393	90.6640223451832	91.5898995550215	91.5801877820443	88.08638996449	87.3164344537475	86.9897939235412	86.978544277722	86.9801471804115	88.0658714788763	88.4051428690901	88.2193171420912	87.8019125511706	87.1360993074954	87.3735121756399	87.3731999641603
"7 (UMAP/fSOM)"	70.3522530157098	76.4065802390314	76.4348114960213	86.6250677952495	85.612485397479	85.6246599783847	81.555364104446	78.8687995503492	79.0976715263931	79.7168941516909	80.290279912246	83.8592249465382	80.8153084701067	80.8223894799006	80.824392909358	99.0658028828075	99.9475781875168	100	99.9949368349206	91.8223216233576	90.6631299319068	91.589126305535	91.5794068107943	88.0863338096201	87.3162372243654	86.9898512610651	86.9785937244918	86.980196096406	88.065594492526	88.4046084815484	88.2195851418395	87.8018402908193	87.1362877779393	87.3736918812135	87.3733796664876
"6 (Manual)"	70.3412654348001	76.4042423954075	76.4324673550156	86.5959596124742	85.5834333376722	85.5954782088708	81.5343741267904	78.8453601583267	79.0680963713176	79.695531133243	80.2725178089035	83.843338707114	80.8080397437061	80.8151285294967	80.817130039042	99.0517553200691	100	99.9475781875168	99.946130922819	91.8114539235759	90.6517960336774	91.5799416477655	91.5702343036853	88.0904581861426	87.3198731884569	86.9947208312767	86.9834515676339	86.9850651208137	88.0749541431176	88.4124753365234	88.226352078788	87.8102412848126	87.1455482197398	87.3836617061439	87.3833633157139
"1 (OG/fSOM)"	71.1517215023022	77.1149979676905	77.1441015897389	87.2356516169746	86.1732608911388	86.1850125523061	82.3970283238283	79.6745524886795	79.905614953703	80.5144848169905	81.1327671411228	84.6788595817682	81.4748470448512	81.4817864702091	81.4837683145584	100	99.0517553200691	99.0658028828075	99.0692048061837	92.3961478872146	91.1072048298686	91.9759273885446	91.967551786755	88.57800776422	87.8664979745766	87.4936106907544	87.4835003596941	87.4853652066744	88.4428059618864	88.8394731231657	88.6124922689922	88.2345850629645	87.5058499251985	87.7517861722171	87.7514998069273
